Date,lat,lon,dep,yr,mag
1991-05-04,9.549,-82.439,6,1991,6.1
1991-05-07,39.466,144.69,21.8,1991,5.8
1991-05-10,-16.207,-174.07,134,1991,6.2
1991-05-13,-3.472,82.759,29.5,1991,5.8
1991-05-17,-4.37,142.745,70.9,1991,6.3
1991-05-19,1.159,122.935,21.4,1991,6.9
1991-05-21,-7.542,126.516,50.5,1991,6.6
1991-05-24,-60.473,-44.23,7.8,1991,5.5
1991-05-24,-16.565,-70.698,120.5,1991,6.9
1991-05-30,54.517,-161.709,28.5,1991,7
1991-05-31,-6.061,130.655,85,1991,5.6
1991-06-07,-7.119,122.699,520,1991,6.9
1991-06-09,-20.238,-176.146,277.8,1991,7
1991-06-10,23.735,-45.367,10.9,1991,6.2
1991-06-11,8.367,-102.998,7.6,1991,5.7
1991-06-12,-2.231,-78.873,97,1991,5.5
1991-06-12,42.808,143.321,112.1,1991,5.5
1991-06-13,-19.908,-175.666,205.7,1991,5.7
1991-06-15,42.408,44.011,7,1991,6.2
1991-06-15,-58.346,-24.403,25.6,1991,6.5
1991-06-15,10.118,125.89,55,1991,6
1991-06-16,15.232,120.486,46.8,1991,5.5
1991-06-18,0.167,149.339,27.4,1991,5.6
1991-06-19,-58.28,-24.98,17,1991,5.6
1991-06-20,1.206,122.772,32.5,1991,7.5
1991-06-20,1.173,122.827,40.1,1991,5.6
1991-06-21,13.406,-89.635,70.8,1991,5.6
1991-06-22,23.777,-108.567,13.3,1991,6.1
1991-06-23,-26.776,-63.27,562.1,1991,7.3
1991-06-23,-26.891,-63.26,576.7,1991,5.5
1991-07-01,-15.88,-74.954,40.9,1991,5.8
1991-07-02,-1.092,99.792,53.4,1991,6.3
1991-07-02,-23.193,-179.05,420,1991,5.6
1991-07-04,-8.149,124.596,27.3,1991,6.7
1991-07-05,-9.619,114.553,36.9,1991,6
1991-07-05,47.912,145.825,468.4,1991,5.7
1991-07-06,-13.279,-72.189,100.3,1991,6.8
1991-07-09,23.217,-65.568,9.3,1991,5.6
1991-07-13,42.203,-125.761,14,1991,6.8
1991-07-13,48.807,154.879,39.2,1991,6.1
1991-07-14,36.382,71.148,218.9,1991,6.6
1991-07-18,-8.162,121.578,34.1,1991,5.5
1991-07-20,54.546,-161.676,38.4,1991,5.7
1991-07-21,3.01,128.456,64.2,1991,5.5
1991-07-25,16.88,-101.369,29.2,1991,5.5
1991-08-05,-21.325,-174.337,31,1991,5.9
1991-08-06,35.808,141.109,28.8,1991,5.7
1991-08-08,1.042,122.575,12.4,1991,6.6
1991-08-08,1.247,122.613,30.4,1991,5.5
1991-08-11,-3.114,130.338,23.4,1991,5.6
1991-08-12,-14.186,-14.276,13.6,1991,5.5
1991-08-14,54.339,-169.261,288.3,1991,5.9
1991-08-14,-13.567,167.687,12,1991,6.5
1991-08-15,-45.92,-72.568,11.3,1991,5.6
1991-08-15,-16.061,168.081,180.9,1991,6.2
1991-08-16,41.693,-125.506,15,1991,6.2
1991-08-17,40.253,-124.11,15.8,1991,6
1991-08-17,41.748,-125.586,6.7,1991,7.1
1991-08-24,-6.096,130.361,106.3,1991,5.5
1991-08-26,18.906,-80.903,16.7,1991,5.5
1991-08-26,6.901,94.408,24.1,1991,5.5
1991-08-26,6.916,94.513,25.9,1991,5.7
1991-08-28,-22.163,179.743,598.3,1991,5.6
1991-09-03,33.69,138.791,28.9,1991,6.2
1991-09-03,-17.913,-116.021,14.7,1991,6.3
1991-09-03,-17.936,-116.038,17.2,1991,6.2
1991-09-09,51.301,-178.142,52.2,1991,5.5
1991-09-09,12.689,144.067,30.8,1991,5.6
1991-09-15,-17.902,-116.002,10,1991,5.5
1991-09-15,-31.458,-69.939,102.5,1991,5.7
1991-09-18,14.605,-90.931,10.7,1991,6.1
1991-09-21,-16.229,-172.916,23.1,1991,6
1991-09-26,-16.099,-173.148,14,1991,5.5
